
Result;
map,disablebounds;
spawnpoint,playerC,0,100000,0,0,1,0,0;








base,Cube_001,0,100000,-30,0,1,0,0;
base,Cube_001,0,100007.764571353,-28.9777747886721,0,1,0.131652497587396,0;
base,Cube_001,0,100015,-25.9807621135332,0,1,0.267949192431123,0;
base,Cube_001,0,100021.213203436,-21.2132034355964,0,1,0.414213562373095,0;
base,Cube_001,0,100025.980762114,-15,0,1,0.577350269189626,0;
base,Cube_001,0,100028.977774789,-7.76457135307562,0,1,0.76732698797896,0;
base,Cube_001,0,100030,0,0,1,1,0;
base,Cube_001,0,100028.977774789,7.76457135307562,0,1,1.30322537284121,0;
base,Cube_001,0,100025.980762114,15,0,1,1.73205080756888,0;
base,Cube_001,0,100021.213203436,21.2132034355964,0,1,2.41421356237309,0;
base,Cube_001,0,100015,25.9807621135332,0,1,3.73205080756888,0;
base,Cube_001,0,100007.764571353,28.9777747886721,0,1,7.59575411272514,0;
base,Cube_001,0,100000,30,0,1,16324552277619100,0;
base,Cube_001,0,99992.2354286469,28.9777747886721,0,1,-7.59575411272516,0;
base,Cube_001,0,99985,25.9807621135332,0,1,-3.73205080756888,0;
base,Cube_001,0,99978.7867965644,21.2132034355964,0,1,-2.4142135623731,0;
base,Cube_001,0,99974.0192378865,15,0,1,-1.73205080756888,0;
base,Cube_001,0,99971.0222252113,7.76457135307563,0,1,-1.30322537284121,0;
base,Cube_001,0,99970,3.67544536472586E-15,0,1,-1,0;
base,Cube_001,0,99971.0222252113,-7.76457135307561,0,1,-0.76732698797896,0;
base,Cube_001,0,99974.0192378865,-15,0,1,-0.577350269189626,0;
base,Cube_001,0,99978.7867965644,-21.2132034355964,0,1,-0.414213562373095,0;
base,Cube_001,0,99985,-25.9807621135332,0,1,-0.267949192431123,0;
base,Cube_001,0,99992.2354286469,-28.9777747886721,0,1,-0.131652497587396,0;














base,Cube_001,5,100000,-30,0,1,0,0;
base,Cube_001,5,100007.764571353,-28.9777747886721,0,1,0.131652497587396,0;
base,Cube_001,5,100015,-25.9807621135332,0,1,0.267949192431123,0;
